base|avaliacao|c1|c2|res_in
UMNSRS|Similarity|C0022116|C0995182|253.5
UMNSRS|Similarity|C0006277|C0298130|737.25
UMNSRS|Similarity|C0286651|C0024027|1174.75
UMNSRS|Similarity|C0032285|C1883552|633.75
UMNSRS|Similarity|C0037763|C0016860|415.75
UMNSRS|Similarity|C0040485|C0014806|343
UMNSRS|Similarity|C0011603|C0020517|1188
UMNSRS|Similarity|C0947651|C0022614|293.75
UMNSRS|Similarity|C0018995|C0032617|309.5
UMNSRS|Similarity|C0011175|C0038187|977
UMNSRS|Similarity|C0009319|C0014544|163
UMNSRS|Similarity|C0162275|C0038187|1225.25
UMNSRS|Similarity|C0018081|C0070166|173
UMNSRS|Similarity|C0039730|C0019045|1307
UMNSRS|Similarity|C0206160|C0004057|670.75
UMNSRS|Similarity|C0026946|C0079083|340.5
UMNSRS|Similarity|C0026946|C0025289|975.5
UMNSRS|Similarity|C0332566|C0332573|1090
UMNSRS|Similarity|C0995182|C0020264|187.5
UMNSRS|Similarity|C0001047|C0001443|256.25
UMNSRS|Similarity|C0086073|C0032950|856
UMNSRS|Similarity|C0011991|C0007537|508.75
UMNSRS|Similarity|C0007559|C0007561|1086.5
UMNSRS|Similarity|C0030193|C0026549|996.75
UMNSRS|Similarity|C0027358|C0015846|484.25
UMNSRS|Similarity|C0042384|C0018991|363.5
UMNSRS|Similarity|C0009262|C0033209|1098.75
UMNSRS|Similarity|C0126174|C0216784|1243.5
UMNSRS|Similarity|C1623038|C0002871|727.5
UMNSRS|Similarity|C0055003|C0004899|648.25
UMNSRS|Similarity|C0038187|C0152149|145.5
UMNSRS|Similarity|C0031763|C0011603|957.75
UMNSRS|Similarity|C0011777|C0246719|472
UMNSRS|Similarity|C0019158|C0000970|880.25
UMNSRS|Similarity|C0019270|C0013456|179.75
UMNSRS|Similarity|C0043528|C0004576|1136.75
UMNSRS|Similarity|C0035508|C0034642|1075.5
UMNSRS|Similarity|C0557875|C0004147|537
UMNSRS|Similarity|C0004153|C0002962|936
UMNSRS|Similarity|C0027121|C0026848|1103
UMNSRS|Similarity|C0006277|C0023992|242.75
UMNSRS|Similarity|C0282386|C0536495|1120.25
UMNSRS|Similarity|C0007537|C0007557|1174.5
UMNSRS|Similarity|C0014806|C0023660|430
UMNSRS|Similarity|C0020676|C0021359|598
UMNSRS|Similarity|C0081876|C0006681|971.75
UMNSRS|Similarity|C0007398|C0023380|890
UMNSRS|Similarity|C0036323|C0114873|201.75
UMNSRS|Similarity|C0085602|C0032617|1135.5
UMNSRS|Similarity|C1623038|C0286651|390.5
UMNSRS|Similarity|C0038450|C0037384|646.5
UMNSRS|Similarity|C0004147|C0016860|708.25
UMNSRS|Similarity|C0014025|C0065374|1280
UMNSRS|Similarity|C0235250|C0079083|765.25
UMNSRS|Similarity|C0206160|C0018926|427
UMNSRS|Similarity|C0041948|C0751229|657.5
UMNSRS|Similarity|C0021359|C0232197|346
UMNSRS|Similarity|C0162275|C0021641|891.5
UMNSRS|Similarity|C0006840|C0392071|383.5
UMNSRS|Similarity|C0019134|C0033603|691
UMNSRS|Similarity|C0026946|C0030193|355.25
UMNSRS|Similarity|C0033687|C0026196|285.25
UMNSRS|Similarity|C0002962|C0013404|642.25
UMNSRS|Similarity|C0004610|C0376288|445
UMNSRS|Similarity|C0041948|C0013911|499.5
UMNSRS|Similarity|C0029456|C0878544|295.25
UMNSRS|Similarity|C0235250|C0027497|1240.25
UMNSRS|Similarity|C0242723|C0858529|331
UMNSRS|Similarity|C0442874|C0021641|754.75
UMNSRS|Similarity|C0036494|C0149651|306.25
UMNSRS|Similarity|C0858529|C0023992|279.5
UMNSRS|Similarity|C0006309|C0043528|1195.75
UMNSRS|Similarity|C0004147|C0025859|1279.25
UMNSRS|Similarity|C0013911|C0006625|1290.25
UMNSRS|Similarity|C0003564|C0152149|214.25
UMNSRS|Similarity|C0038187|C0003123|1176.75
UMNSRS|Similarity|C0005747|C0043031|207.75
UMNSRS|Similarity|C0002680|C0002645|1238
UMNSRS|Similarity|C0002962|C0011991|270.75
UMNSRS|Similarity|C0016860|C0024730|658.5
UMNSRS|Similarity|C0015300|C0242453|243.5
UMNSRS|Similarity|C0041948|C0004057|256
UMNSRS|Similarity|C0006982|C0018242|240.25
UMNSRS|Similarity|C0020517|C0004899|203
UMNSRS|Similarity|C0019270|C0018021|354.75
UMNSRS|Similarity|C0011175|C0039070|897.75
UMNSRS|Similarity|C0231851|C0032617|303.25
UMNSRS|Similarity|C0003864|C0035435|1153.25
UMNSRS|Similarity|C0021359|C0003128|1192.75
UMNSRS|Similarity|C0026946|C0019655|1282.5
UMNSRS|Similarity|C0086543|C0011847|652.75
UMNSRS|Similarity|C1257763|C0162429|160.75
UMNSRS|Similarity|C0009951|C0014544|1302.75
UMNSRS|Similarity|C0010520|C0016410|365.5
UMNSRS|Similarity|C0021359|C0005747|225.25
UMNSRS|Similarity|C0442874|C0011847|1032
UMNSRS|Similarity|C0014806|C0002144|345.5
UMNSRS|Similarity|C0030232|C1883552|1109.5
UMNSRS|Similarity|C0231451|C0017245|258.75
UMNSRS|Similarity|C1883552|C0030552|1158.25
UMNSRS|Similarity|C0239779|C0221169|634
UMNSRS|Similarity|C0021359|C0003128|1276.5
UMNSRS|Similarity|C0012833|C0042571|1287
UMNSRS|Similarity|C0242339|C0002962|806
UMNSRS|Similarity|C0017536|C0376286|422
UMNSRS|Similarity|C0036572|C0995182|167.75
UMNSRS|Similarity|C0074393|C0016365|1138.75
UMNSRS|Similarity|C0031154|C0004134|281.75
UMNSRS|Similarity|C0246719|C0102118|1276.5
UMNSRS|Similarity|C0003862|C0159075|201
UMNSRS|Similarity|C0149651|C0009806|167.75
UMNSRS|Similarity|C0009806|C0011991|161
UMNSRS|Similarity|C0003864|C1623038|618.5
UMNSRS|Similarity|C0086543|C0027358|263.5
UMNSRS|Similarity|C0085631|C0026549|527.5
UMNSRS|Similarity|C0003126|C0003564|845
UMNSRS|Similarity|C0039070|C1883552|737
UMNSRS|Similarity|C2004489|C0018834|1106.5
UMNSRS|Similarity|C0032143|C0038418|762.75
UMNSRS|Similarity|C0052796|C0008809|965
UMNSRS|Similarity|C0007398|C0027358|458
UMNSRS|Similarity|C0003862|C0000970|869.25
UMNSRS|Similarity|C0005747|C0270327|321.25
UMNSRS|Similarity|C0025289|C0018681|1221.25
UMNSRS|Similarity|C0017628|C0289313|1128.25
UMNSRS|Similarity|C0003126|C0231617|274.5
UMNSRS|Similarity|C0002962|C0231618|666.25
UMNSRS|Similarity|C0398623|C0019079|469.75
UMNSRS|Similarity|C0028754|C0076275|1007.25
UMNSRS|Similarity|C0017642|C0020740|330.5
UMNSRS|Similarity|C0004153|C0021400|257.75
UMNSRS|Similarity|C0231655|C0018520|233.5
UMNSRS|Similarity|C0019209|C0019214|1164.75
UMNSRS|Similarity|C0003126|C0012265|293
UMNSRS|Similarity|C0016204|C0018520|802.25
UMNSRS|Similarity|C0016382|C0060277|511.5
UMNSRS|Similarity|C0152149|C0003564|199.25
UMNSRS|Similarity|C0149651|C0042878|360.5
UMNSRS|Similarity|C0232471|C0020175|935.75
UMNSRS|Similarity|C0006277|C0032285|1019.75
UMNSRS|Similarity|C0006840|C0025815|390.25
UMNSRS|Similarity|C0232197|C0357929|256
UMNSRS|Similarity|C0012265|C0012373|1045
UMNSRS|Similarity|C0002333|C0024002|1269
UMNSRS|Similarity|C0019158|C1623038|1173
UMNSRS|Similarity|C0149651|C0885057|194
UMNSRS|Similarity|C0035435|C0917801|384.75
UMNSRS|Similarity|C0011847|C0020456|1234.75
UMNSRS|Similarity|C0877781|C0017887|298.75
UMNSRS|Similarity|C0004134|C0009806|309.25
UMNSRS|Similarity|C0026946|C0009187|1137.25
UMNSRS|Similarity|C0009014|C0025859|921.25
UMNSRS|Similarity|C0007561|C0007557|1202.25
UMNSRS|Similarity|C0877781|C0000970|619.5
UMNSRS|Similarity|C0070166|C0043031|1183.5
UMNSRS|Similarity|C0017160|C0013369|1255.75
UMNSRS|Similarity|C0014544|C0019209|208.25
UMNSRS|Similarity|C0020639|C0020175|886.5
UMNSRS|Similarity|C0028978|C0025598|305.75
UMNSRS|Similarity|C0025815|C0032950|1387.5
UMNSRS|Similarity|C0231655|C0017887|246.75
UMNSRS|Similarity|C0026946|C0005716|1118.5
UMNSRS|Similarity|C0008402|C1142985|1184
UMNSRS|Similarity|C0152447|C0003564|233.25
UMNSRS|Similarity|C0079083|C0008838|1273.5
UMNSRS|Similarity|C0022251|C0025859|1031.5
UMNSRS|Similarity|C0013090|C0220892|680.75
UMNSRS|Similarity|C0041948|C0020740|393.25
UMNSRS|Similarity|C0034642|C0010520|687.5
UMNSRS|Similarity|C0231451|C0020175|338
UMNSRS|Similarity|C0152149|C0246719|307.5
UMNSRS|Similarity|C1623038|C0018995|956
UMNSRS|Similarity|C0030305|C0086543|342
UMNSRS|Similarity|C0030305|C0332566|348.5
UMNSRS|Similarity|C0034880|C0003564|431.75
UMNSRS|Similarity|C0040034|C0018834|328.5
UMNSRS|Similarity|C0003615|C0031154|934.75
UMNSRS|Similarity|C0025587|C0009262|792.25
UMNSRS|Similarity|C0741439|C1282609|683.25
UMNSRS|Similarity|C0028351|C0033487|784
UMNSRS|Similarity|C0035435|C0162323|1124.75
UMNSRS|Similarity|C0085593|C0037384|322.5
UMNSRS|Similarity|C0276185|C0752270|450
UMNSRS|Similarity|C1257763|C0010592|232.75
UMNSRS|Similarity|C0023530|C0005740|890
UMNSRS|Similarity|C0004153|C0152447|212.25
UMNSRS|Similarity|C0018991|C0018681|561.5
UMNSRS|Similarity|C0004153|C0040460|224.5
UMNSRS|Similarity|C0009024|C0037763|967
UMNSRS|Similarity|C0006309|C0027358|199.75
UMNSRS|Similarity|C0039730|C0060277|892.5
UMNSRS|Similarity|C0017887|C0025859|785.25
UMNSRS|Similarity|C0020517|C0025287|319.5
UMNSRS|Similarity|C0242706|C0076275|343.5
UMNSRS|Similarity|C0001882|C0029456|206.5
UMNSRS|Similarity|C0009806|C0012373|178.75
UMNSRS|Similarity|C0006840|C0026946|1151.25
UMNSRS|Similarity|C0074554|C0016157|923.5
UMNSRS|Similarity|C0042384|C0009951|372.5
UMNSRS|Similarity|C0039070|C0002333|618.25
UMNSRS|Similarity|C0018081|C0076275|193.75
UMNSRS|Similarity|C0242706|C0076275|197.25
UMNSRS|Similarity|C0036323|C0242723|1187.5
UMNSRS|Similarity|C0286651|C0074554|1330.75
UMNSRS|Similarity|C0037384|C0221232|327.5
UMNSRS|Similarity|C0009421|C0086543|265.25
UMNSRS|Similarity|C0085208|C0002600|309
UMNSRS|Similarity|C0003126|C0009806|244.25
UMNSRS|Similarity|C0018681|C0016382|413.25
UMNSRS|Similarity|C0741439|C0027497|503.25
UMNSRS|Similarity|C0031412|C0042291|1046.5
UMNSRS|Similarity|C0005740|C0012772|337.75
UMNSRS|Similarity|C0376286|C0038187|984.75
UMNSRS|Similarity|C0026946|C0025815|388.75
UMNSRS|Similarity|C0162323|C0003862|1126
UMNSRS|Similarity|C1623038|C0074554|498
UMNSRS|Similarity|C0020175|C0038187|1134.5
UMNSRS|Similarity|C0020676|C0009421|710.75
UMNSRS|Similarity|C0000970|C0020740|1067
UMNSRS|Similarity|C0242706|C0003129|252
UMNSRS|Similarity|C0003128|C0040485|228
UMNSRS|Similarity|C0003864|C0231236|333.25
UMNSRS|Similarity|C0011847|C0032617|1066
UMNSRS|Similarity|C0019079|C0018926|908.25
UMNSRS|Similarity|C0039128|C0018081|1132.25
UMNSRS|Similarity|C0086543|C0231655|288.5
UMNSRS|Similarity|C0014544|C0024002|836.5
UMNSRS|Similarity|C0001416|C0038450|666.25
UMNSRS|Similarity|C0149651|C0213771|846.75
UMNSRS|Similarity|C0004096|C0451641|286
UMNSRS|Similarity|C0232197|C0018520|348
UMNSRS|Similarity|C0178664|C0033687|858
UMNSRS|Similarity|C0036572|C0357929|190.75
UMNSRS|Similarity|C0002144|C0009262|1142.25
UMNSRS|Similarity|C0018995|C0003862|774.25
UMNSRS|Similarity|C0002403|C0874161|1193
UMNSRS|Similarity|C0032285|C0010520|623.25
UMNSRS|Similarity|C0009090|C0017887|219.5
UMNSRS|Similarity|C0040034|C0003864|306.5
UMNSRS|Similarity|C0039070|C0004147|639.5
UMNSRS|Similarity|C0014544|C0003126|404.25
UMNSRS|Similarity|C0085631|C0040165|637.5
UMNSRS|Similarity|C0041834|C0031507|468.5
UMNSRS|Similarity|C0034642|C0034880|251.25
UMNSRS|Similarity|C0010137|C0001443|214.75
UMNSRS|Similarity|C0041834|C0040822|316
UMNSRS|Similarity|C0013404|C0010520|1052.25
UMNSRS|Similarity|C0041948|C0027497|621.25
UMNSRS|Similarity|C0242453|C0392071|964.75
UMNSRS|Similarity|C0019045|C0030193|505.25
UMNSRS|Similarity|C1883552|C0013911|956.25
UMNSRS|Similarity|C0013404|C0213771|1075.5
UMNSRS|Similarity|C0242339|C0032143|531.75
UMNSRS|Similarity|C0023530|C0220892|416.25
UMNSRS|Similarity|C1883552|C0017687|368
UMNSRS|Similarity|C0009806|C0042523|193
UMNSRS|Similarity|C0018021|C0042384|324.75
UMNSRS|Similarity|C0028734|C0004899|353.75
UMNSRS|Similarity|C0020550|C0029456|493.75
UMNSRS|Similarity|C0030232|C0948786|955
UMNSRS|Similarity|C0393080|C0016365|193.25
UMNSRS|Similarity|C0034642|C0016860|742
UMNSRS|Similarity|C0002871|C0043031|623.75
UMNSRS|Similarity|C0023570|C0006982|1533.5
UMNSRS|Similarity|C0009187|C0025815|388.5
UMNSRS|Similarity|C0557875|C0751229|1055.25
UMNSRS|Similarity|C0032617|C0162275|993.25
UMNSRS|Similarity|C0040460|C0004134|255.5
UMNSRS|Similarity|C0024730|C0000970|223
UMNSRS|Similarity|C0009024|C0085208|317.5
UMNSRS|Similarity|C0016157|C0074554|809.5
UMNSRS|Similarity|C0242339|C0009806|318.5
UMNSRS|Similarity|C0026946|C0242453|271.5
UMNSRS|Similarity|C0497327|C0995182|223.5
UMNSRS|Similarity|C0013369|C0116569|229.5
UMNSRS|Similarity|C0032064|C0006644|278.5
UMNSRS|Similarity|C0034494|C0947651|239
UMNSRS|Similarity|C0034494|C0234990|417.25
UMNSRS|Similarity|C0070166|C0021641|286.25
UMNSRS|Similarity|C0017536|C0233576|152.75
UMNSRS|Similarity|C0033860|C0004153|169.5
UMNSRS|Similarity|C0033497|C0085259|318.75
UMNSRS|Similarity|C0040460|C0076107|224.75
UMNSRS|Similarity|C0011633|C0026848|1019.5
UMNSRS|Similarity|C0038187|C0008838|319
UMNSRS|Similarity|C0003128|C0002453|1099.5
UMNSRS|Similarity|C0001824|C0002871|933.25
UMNSRS|Similarity|C0040485|C0037763|1104
UMNSRS|Similarity|C0557875|C0042523|233.75
UMNSRS|Similarity|C0357929|C0005740|227
UMNSRS|Similarity|C0018995|C0025023|212.25
UMNSRS|Similarity|C0003128|C0006982|326.25
UMNSRS|Similarity|C0231451|C0004899|261.25
UMNSRS|Similarity|C0001927|C0073992|949.5
UMNSRS|Similarity|C0003864|C0002726|724.25
UMNSRS|Similarity|C0010520|C0014563|456.5
UMNSRS|Similarity|C0015620|C0034665|1247.25
UMNSRS|Similarity|C0007297|C0027497|1168.75
UMNSRS|Similarity|C0025287|C0001367|713.5
UMNSRS|Similarity|C0013404|C0085631|593.25
UMNSRS|Similarity|C0014038|C0018681|1052.5
UMNSRS|Similarity|C0014544|C0246719|329.25
