base|avaliacao|c1|c2|res_in
UMNSRS|Relatedness|C0917801|C0086140|392.25
UMNSRS|Relatedness|C0009262|C0033209|953.5
UMNSRS|Relatedness|C0038187|C0152149|375.5
UMNSRS|Relatedness|C0008947|C0026196|544
UMNSRS|Relatedness|C0019158|C0000970|1066.25
UMNSRS|Relatedness|C0019270|C0013456|156
UMNSRS|Relatedness|C0003862|C0717550|355.75
UMNSRS|Relatedness|C0004134|C0001962|1080
UMNSRS|Relatedness|C0043528|C0004576|934
UMNSRS|Relatedness|C0035508|C0034642|1012.75
UMNSRS|Relatedness|C0002962|C0014563|517.5
UMNSRS|Relatedness|C0004153|C0002962|1073.75
UMNSRS|Relatedness|C0019158|C0018926|979
UMNSRS|Relatedness|C0232955|C0232962|547.75
UMNSRS|Relatedness|C0006277|C0023992|395
UMNSRS|Relatedness|C0282386|C0536495|924.25
UMNSRS|Relatedness|C0011175|C0017160|1115.75
UMNSRS|Relatedness|C0008168|C0007561|535
UMNSRS|Relatedness|C0007537|C0007557|918.75
UMNSRS|Relatedness|C0014806|C0023660|608
UMNSRS|Relatedness|C0007398|C0023380|819
UMNSRS|Relatedness|C0020517|C0018834|214
UMNSRS|Relatedness|C0242453|C0008809|722.5
UMNSRS|Relatedness|C0085636|C0025287|1034
UMNSRS|Relatedness|C0011175|C0013369|982.25
UMNSRS|Relatedness|C0014025|C0065374|1060.75
UMNSRS|Relatedness|C0206160|C0018926|424.5
UMNSRS|Relatedness|C0041948|C0023870|390
UMNSRS|Relatedness|C0162275|C0021641|968.75
UMNSRS|Relatedness|C0553735|C0242453|692.5
UMNSRS|Relatedness|C0019134|C0033603|1044
UMNSRS|Relatedness|C0878544|C0034642|820.25
UMNSRS|Relatedness|C0026946|C0030193|768.5
UMNSRS|Relatedness|C0033687|C0026196|219
UMNSRS|Relatedness|C0002962|C0013404|1066.5
UMNSRS|Relatedness|C0004610|C0376288|517.25
UMNSRS|Relatedness|C0242339|C0286651|1094.75
UMNSRS|Relatedness|C0041948|C0013911|425.25
UMNSRS|Relatedness|C0029456|C0878544|220.5
UMNSRS|Relatedness|C0235250|C0027497|1064.25
UMNSRS|Relatedness|C0036494|C0149651|212.5
UMNSRS|Relatedness|C0060277|C0060277|1154.25
UMNSRS|Relatedness|C0008350|C0006277|301
UMNSRS|Relatedness|C0007716|C0076275|491.25
UMNSRS|Relatedness|C0006309|C0043528|992.75
UMNSRS|Relatedness|C0004147|C0025859|892.25
UMNSRS|Relatedness|C0038187|C0003123|1049.25
UMNSRS|Relatedness|C0005367|C0039286|693
UMNSRS|Relatedness|C0016860|C0024730|813.75
UMNSRS|Relatedness|C0070166|C0060657|575
UMNSRS|Relatedness|C0040038|C0019134|1059.25
UMNSRS|Relatedness|C0015300|C0242453|325.25
UMNSRS|Relatedness|C0041948|C0004057|222.5
UMNSRS|Relatedness|C0006982|C0018242|663.25
UMNSRS|Relatedness|C0019270|C0018021|295
UMNSRS|Relatedness|C0011175|C0039070|726.5
UMNSRS|Relatedness|C0553735|C0037384|184.5
UMNSRS|Relatedness|C0206160|C0043031|255.5
UMNSRS|Relatedness|C0003864|C0035435|1077.75
UMNSRS|Relatedness|C0036396|C0102118|282.5
UMNSRS|Relatedness|C0021359|C0003128|1135
UMNSRS|Relatedness|C0006277|C0073992|744.5
UMNSRS|Relatedness|C0026946|C0019655|1032
UMNSRS|Relatedness|C0006644|C0039771|613.5
UMNSRS|Relatedness|C0175848|C0043066|503
UMNSRS|Relatedness|C0076275|C0025598|702
UMNSRS|Relatedness|C0010520|C0016410|312.5
UMNSRS|Relatedness|C0021359|C0005747|310.25
UMNSRS|Relatedness|C0018834|C0081876|1141.75
UMNSRS|Relatedness|C0020676|C0040165|1111.25
UMNSRS|Relatedness|C0086140|C0002658|496.25
UMNSRS|Relatedness|C0013369|C0012833|893.25
UMNSRS|Relatedness|C0015300|C0040165|986.5
UMNSRS|Relatedness|C0021359|C0003128|1125.25
UMNSRS|Relatedness|C0012833|C0042571|1051.25
UMNSRS|Relatedness|C0242339|C0002962|996.5
UMNSRS|Relatedness|C0017536|C0376286|443.75
UMNSRS|Relatedness|C0018021|C0020676|1097
UMNSRS|Relatedness|C0074393|C0016365|1109.75
UMNSRS|Relatedness|C0031154|C0004134|184
UMNSRS|Relatedness|C0003862|C0159075|510.75
UMNSRS|Relatedness|C0070166|C0286651|1049.5
UMNSRS|Relatedness|C0018933|C0030232|594
UMNSRS|Relatedness|C0014563|C0028351|560
UMNSRS|Relatedness|C0023530|C0032285|613.5
UMNSRS|Relatedness|C0002962|C0025859|992.25
UMNSRS|Relatedness|C0086543|C0027358|160.75
UMNSRS|Relatedness|C0004905|C0012373|323.5
UMNSRS|Relatedness|C0085631|C0026549|886.5
UMNSRS|Relatedness|C0003126|C0003564|932.75
UMNSRS|Relatedness|C0013132|C0006982|778.75
UMNSRS|Relatedness|C2004489|C0018834|969.25
UMNSRS|Relatedness|C0032143|C0038418|719.75
UMNSRS|Relatedness|C0717550|C0288171|533.75
UMNSRS|Relatedness|C0702166|C0004134|161.75
UMNSRS|Relatedness|C0003862|C0000970|984.5
UMNSRS|Relatedness|C0085635|C0018681|874
UMNSRS|Relatedness|C0025289|C0018681|1146.75
UMNSRS|Relatedness|C0017628|C0289313|886.25
UMNSRS|Relatedness|C0003126|C0231617|304.5
UMNSRS|Relatedness|C0235250|C0061851|1117
UMNSRS|Relatedness|C0235250|C0027498|1110
UMNSRS|Relatedness|C0018834|C0014724|471.25
UMNSRS|Relatedness|C0017642|C0020740|511.25
UMNSRS|Relatedness|C0004153|C0021400|328.5
UMNSRS|Relatedness|C0231655|C0018520|329.75
UMNSRS|Relatedness|C0019209|C0019214|1040
UMNSRS|Relatedness|C0392071|C0008809|873.25
UMNSRS|Relatedness|C0451641|C0002726|471.5
UMNSRS|Relatedness|C0001367|C0070122|509.5
UMNSRS|Relatedness|C0016382|C0060277|448
UMNSRS|Relatedness|C0152149|C0003564|357.5
UMNSRS|Relatedness|C0149651|C0042878|304
UMNSRS|Relatedness|C0152149|C0040460|225.75
UMNSRS|Relatedness|C0036396|C0020740|884.5
UMNSRS|Relatedness|C0006277|C0032285|909.25
UMNSRS|Relatedness|C0012265|C0012373|863.5
UMNSRS|Relatedness|C0002333|C0024002|849
UMNSRS|Relatedness|C0030305|C0016204|213.75
UMNSRS|Relatedness|C0149651|C0885057|143.75
UMNSRS|Relatedness|C0035435|C0917801|298.25
UMNSRS|Relatedness|C0035435|C0032950|509.75
UMNSRS|Relatedness|C0877781|C0017887|496.5
UMNSRS|Relatedness|C0040038|C0232197|849.25
UMNSRS|Relatedness|C0002962|C0032143|397.25
UMNSRS|Relatedness|C0012833|C0015672|1010
UMNSRS|Relatedness|C0026946|C0009187|943.5
UMNSRS|Relatedness|C0065374|C0072973|644.25
UMNSRS|Relatedness|C0003615|C0007546|775.25
UMNSRS|Relatedness|C0007561|C0007557|979.75
UMNSRS|Relatedness|C0877781|C0000970|417.5
UMNSRS|Relatedness|C0070166|C0043031|1044.25
UMNSRS|Relatedness|C0017160|C0013369|1081
UMNSRS|Relatedness|C0013404|C0073992|733.75
UMNSRS|Relatedness|C0028978|C0025598|482.25
UMNSRS|Relatedness|C0032285|C0025289|501.5
UMNSRS|Relatedness|C0025587|C0009014|594.75
UMNSRS|Relatedness|C0231655|C0017887|626.25
UMNSRS|Relatedness|C0026946|C0005716|1032
UMNSRS|Relatedness|C0027497|C0061851|1123.25
UMNSRS|Relatedness|C0079083|C0008838|979.75
UMNSRS|Relatedness|C0442874|C0039128|1022.5
UMNSRS|Relatedness|C0041948|C0020740|362.75
UMNSRS|Relatedness|C0152149|C0246719|354.75
UMNSRS|Relatedness|C0030305|C0086543|239.75
UMNSRS|Relatedness|C0030305|C0332566|214.25
UMNSRS|Relatedness|C0043066|C0003129|267.75
UMNSRS|Relatedness|C0040038|C0013404|1043.75
UMNSRS|Relatedness|C0019158|C0019209|1006
UMNSRS|Relatedness|C0040034|C0018834|418
UMNSRS|Relatedness|C0003615|C0031154|944.25
UMNSRS|Relatedness|C0151818|C0036572|792
UMNSRS|Relatedness|C0012963|C0030049|398
UMNSRS|Relatedness|C0015772|C0051696|448.75
UMNSRS|Relatedness|C0741439|C1282609|979.5
UMNSRS|Relatedness|C0028351|C0033487|874.5
UMNSRS|Relatedness|C0276185|C0752270|414.5
UMNSRS|Relatedness|C1257763|C0010592|544.75
UMNSRS|Relatedness|C0023530|C0005740|920
UMNSRS|Relatedness|C0004153|C0152447|432.25
UMNSRS|Relatedness|C0553735|C0001367|421.5
UMNSRS|Relatedness|C0001911|C0025023|603.5
UMNSRS|Relatedness|C0004153|C0040460|347.75
UMNSRS|Relatedness|C0553735|C0027697|725.25
UMNSRS|Relatedness|C0006309|C0027358|226
UMNSRS|Relatedness|C0013428|C0152447|651.25
UMNSRS|Relatedness|C0039730|C0060277|892
UMNSRS|Relatedness|C0020517|C0025287|198.25
UMNSRS|Relatedness|C0242706|C0076275|397
UMNSRS|Relatedness|C0039070|C0002333|247.5
UMNSRS|Relatedness|C0018081|C0076275|320.5
UMNSRS|Relatedness|C0242706|C0076275|375
UMNSRS|Relatedness|C0286651|C0074554|1101.75
UMNSRS|Relatedness|C0003129|C0004134|261.25
UMNSRS|Relatedness|C0009421|C0086543|121.75
UMNSRS|Relatedness|C0085208|C0002600|556
UMNSRS|Relatedness|C0003126|C0009806|307.5
UMNSRS|Relatedness|C0005740|C0012772|190.75
UMNSRS|Relatedness|C0026946|C0025815|450.25
UMNSRS|Relatedness|C0878544|C0002962|933.5
UMNSRS|Relatedness|C0020175|C0038187|1065.25
UMNSRS|Relatedness|C0020676|C0009421|860.75
UMNSRS|Relatedness|C0242706|C0003129|728
UMNSRS|Relatedness|C0022116|C0022251|1025.5
UMNSRS|Relatedness|C0041296|C0019079|1004.25
UMNSRS|Relatedness|C0232197|C0002962|1013
UMNSRS|Relatedness|C0020676|C0557875|1002.25
UMNSRS|Relatedness|C0039128|C0497327|1029.5
UMNSRS|Relatedness|C0019079|C0018926|915.25
UMNSRS|Relatedness|C0039128|C0018081|1081.25
UMNSRS|Relatedness|C0086543|C0231655|352.75
UMNSRS|Relatedness|C0014544|C0024002|389.75
UMNSRS|Relatedness|C0276185|C0037384|177.25
UMNSRS|Relatedness|C0018834|C0015620|1079.25
UMNSRS|Relatedness|C0553735|C0013428|760.75
UMNSRS|Relatedness|C0040038|C0043031|1041.5
UMNSRS|Relatedness|C0232197|C0018520|237.75
UMNSRS|Relatedness|C0036572|C0357929|472.75
UMNSRS|Relatedness|C0231655|C0025587|651.5
UMNSRS|Relatedness|C0002144|C0009262|1054.5
UMNSRS|Relatedness|C0002403|C0874161|1072.5
UMNSRS|Relatedness|C0025289|C0007561|971.25
UMNSRS|Relatedness|C0040038|C0039070|892.75
UMNSRS|Relatedness|C0009090|C0017887|241.25
UMNSRS|Relatedness|C0002871|C0060277|1018
UMNSRS|Relatedness|C0242339|C0032143|428.25
UMNSRS|Relatedness|C0020459|C0037384|250.5
UMNSRS|Relatedness|C0025289|C0025287|885
UMNSRS|Relatedness|C0009806|C0042523|460.5
UMNSRS|Relatedness|C0232197|C0004147|985
UMNSRS|Relatedness|C0242339|C0020473|1025.5
UMNSRS|Relatedness|C0043066|C2004489|809.25
UMNSRS|Relatedness|C0034642|C0016860|1029.5
UMNSRS|Relatedness|C0016579|C0030554|573.25
UMNSRS|Relatedness|C0246719|C0021641|804.5
UMNSRS|Relatedness|C0023570|C0006982|1185.5
UMNSRS|Relatedness|C0009187|C0025815|627.75
UMNSRS|Relatedness|C0005747|C0152149|542.5
UMNSRS|Relatedness|C0032617|C0162275|1046
UMNSRS|Relatedness|C0040460|C0004134|187
UMNSRS|Relatedness|C0024730|C0000970|189
UMNSRS|Relatedness|C0009024|C0085208|563.25
UMNSRS|Relatedness|C0004134|C0022614|292.75
UMNSRS|Relatedness|C0016157|C0074554|1087
UMNSRS|Relatedness|C0026946|C0242453|501
UMNSRS|Relatedness|C0013369|C0116569|210
UMNSRS|Relatedness|C0301532|C0001975|981.25
UMNSRS|Relatedness|C0021400|C0032285|1005
UMNSRS|Relatedness|C0017536|C0233576|160
UMNSRS|Relatedness|C0033860|C0004153|249.5
UMNSRS|Relatedness|C0033497|C0085259|301.5
UMNSRS|Relatedness|C0040460|C0076107|319
UMNSRS|Relatedness|C0011633|C0026848|923.5
UMNSRS|Relatedness|C0038187|C0008838|517.75
UMNSRS|Relatedness|C0003128|C0002453|971.25
UMNSRS|Relatedness|C0276185|C0043066|375.5
UMNSRS|Relatedness|C0001824|C0002871|1014.5
UMNSRS|Relatedness|C0040485|C0037763|1026.75
UMNSRS|Relatedness|C0557875|C0042523|535
UMNSRS|Relatedness|C0357929|C0005740|407
UMNSRS|Relatedness|C0018995|C0025023|447.25
UMNSRS|Relatedness|C0003128|C0006982|422.5
UMNSRS|Relatedness|C0001927|C0073992|909.25
UMNSRS|Relatedness|C0003864|C0002726|839.75
UMNSRS|Relatedness|C0010520|C0014563|521.5
UMNSRS|Relatedness|C0015620|C0034665|1037.75
UMNSRS|Relatedness|C0042523|C0752270|639
UMNSRS|Relatedness|C0014544|C0022116|388
UMNSRS|Relatedness|C0007297|C0027497|1103.25
UMNSRS|Relatedness|C0025287|C0001367|790
UMNSRS|Relatedness|C0014544|C0246719|623.5

